feature_name,max_source_time,prediction_boundary_rule,leakage_status,notes
physical_progress_lag3,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
progress_change_1m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
progress_change_2m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
progress_change_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
progress_velocity_1m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
progress_velocity_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
progress_velocity_6m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
max_progress_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
min_progress_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
average_progress_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
progress_std_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
cumulative_expenditure_lag1,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
cumulative_expenditure_lag3,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
monthly_expenditure_delta_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
expenditure_change_1m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
expenditure_change_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
expenditure_velocity_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
expenditure_velocity_6m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
avg_monthly_expenditure_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
expenditure_growth_rate_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
negative_expenditure_delta_flag_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
stagnant_2m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
stagnant_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
stagnant_6m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
months_since_last_progress_increase_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
longest_stagnation_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
progress_change_last_3m_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
has_cost_revision_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
cost_revision_count_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_since_last_cost_revision_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
largest_cost_revision_pct_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
cost_reduction_pct_as_of_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
has_revised_schedule_as_of_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
schedule_revision_count_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_since_last_schedule_revision_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
current_schedule_status_as_of_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_observed_to_date_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
first_observed_month,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_since_first_observed_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
observation_coverage_ratio_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
consecutive_observation_count_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_since_last_observation_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
missing_physical_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
missing_expenditure_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
missing_revised_cost_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
missing_revised_doc_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
observation_gap_flag_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
state_active_project_count_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Dynamic context aggregate computed per prediction month t across projects active at t.
state_mean_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
state_median_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Dynamic context aggregate computed per prediction month t across projects active at t.
state_mean_cost_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
state_mean_expenditure_ratio_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
agency_active_project_count_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Dynamic context aggregate computed per prediction month t across projects active at t.
agency_mean_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
agency_median_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Dynamic context aggregate computed per prediction month t across projects active at t.
agency_mean_cost_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
agency_mean_expenditure_ratio_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,"Historical trajectory/rolling metric strictly bounded within window [t_start, t]."
reporting_structure_version_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
focused_cohort_indicator_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
table_source_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
