feature_name,present_in_original_production_75,present_in_ocms_experiment,feature_type,reason_for_difference,safe_or_unsafe
months_since_last_observation_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_since_last_progress_increase_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_since_last_schedule_revision_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_to_original_doc_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_to_revised_doc_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
negative_expenditure_delta_flag_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
observation_coverage_ratio_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
observation_gap_flag_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
original_completion_date,False,True,Raw Date String,Raw string column (revised_doc_t / first_observed_month / original_cost_crore) preserved in CSV but ignored by numeric models,SAFE (Metadata / Filtered in Pipeline)
original_cost_crore,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
original_cost_log,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
physical_progress_lag1,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
physical_progress_lag2,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
physical_progress_lag3,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
physical_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
planned_duration_months,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
prediction_month,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
progress_change_1m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_change_2m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_change_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_change_last_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_std_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_velocity_1m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_velocity_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
progress_velocity_6m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
project_age_months_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
project_id,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
project_name,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
project_size_category,True,True,Categorical Feature,Present in both production feature store and experimental baseline,SAFE
remaining_physical_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
reporting_structure_version_t,True,True,Categorical Feature,Present in both production feature store and experimental baseline,SAFE
revised_cost_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
revised_doc_t,False,True,Raw Date String,Raw string column (revised_doc_t / first_observed_month / original_cost_crore) preserved in CSV but ignored by numeric models,SAFE (Metadata / Filtered in Pipeline)
schedule_revision_count_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
schedule_slippage_months_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
stagnant_2m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
stagnant_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
stagnant_6m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
state,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
state_active_project_count_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
state_mean_cost_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
state_mean_expenditure_ratio_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
state_mean_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
state_median_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
table_source_t,True,True,Categorical Feature,Present in both production feature store and experimental baseline,SAFE
